年齡,營養素,維生素A,維生素A,維生素D,維生素E,維生素K,維生素K,維生素C,維生素B1,維生素B1,維生素B2,維生素B2,菸鹼素,菸鹼素,維生素B6,維生素B6,維生素B12,維生素B12,葉酸,鈣,磷,鎂,鎂,鐵,鐵,鋅,鋅,碘,鉀,鉀,鈉
,單位,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,mg,mgNE,mgNE,mg,mg,μg,μg,μg,mg,mg,mg,mg,mg,mg,mg,mg,μg,mg,mg,mg
,性別,男,女,男/女,男/女,男,女,男/女,男,女,男,女,男,女,男,女,男,女,男/女,男/女,男/女,男,女,男,女,男,女,男/女,男,女,男/女
1 - 3歲,,400,400,10,5,30,30,40,0.6,0.6,0.7,0.7,9,9,0.5,0.5,0.9,0.9,170,500,400,80,80,10,10,5,5,65,1500,1500,1300
4 - 6歲,,400,400,10,6,55,55,50,0.9,0.8,1,0.9,12,11,0.6,0.6,1.2,1.2,200,600,500,120,120,10,10,5,5,90,2100,1900,1700
7 - 9歲,,400,400,10,8,55,55,60,1,0.9,1.2,1,14,12,0.8,0.8,1.5,1.5,250,800,600,170,170,10,10,8,8,100,2400,2200,2000
10 - 12歲,,500,500,10,10,60,60,80,1.1,1.1,1.3,1.2,15,15,1.3,1.3,2,2.2,300,1000,800,230,230,15,15,10,10,120,2700,2500,2300
13 - 15歲,,600,500,10,12,75,75,100,1.3,1.1,1.5,1.3,18,15,1.4,1.3,2.4,2.4,400,1200,1000,350,320,15,15,15,12,150,2800,2500,2300
16 - 18歲,,700,500,10,13,75,75,100,1.4,1.1,1.6,1.2,18,15,1.5,1.3,2.4,2.4,400,1200,1000,390,330,15,15,15,12,150,2800,2500,2300
19 - 30歲,,600,500,10,12,120,90,100,1.2,0.9,1.3,1,16,14,1.5,1.5,2.4,2.4,400,1000,800,380,320,10,15,15,12,150,2800,2500,2300
31 - 50歲,,600,500,10,12,120,90,100,1.2,0.9,1.3,1,16,14,1.5,1.5,2.4,2.4,400,1000,800,380,320,10,15,15,12,150,2800,2500,2300
51 - 70歲,,600,500,15,12,120,90,100,1.2,0.9,1.3,1,16,14,1.6,1.6,2.4,2.4,400,1000,800,360,310,10,10,15,12,150,2800,2500,2300
71歲-,,600,500,15,12,120,90,100,1.2,0.9,1.3,1,16,14,1.6,1.6,2.4,2.4,400,1000,800,360,300,10,10,15,12,150,2800,2500,2300
